id,time,today,yesterday,total
-NZRIsscOZ8BlWvMjwk2,2023-07-03T16:12:01,0.415,0.625,417.82602
-NZRbnxrCrvrV9LD0hz4,2023-07-03T17:39:01,0.47,0.625,417.87997
-NZRvRwlz3w-YxZqH1De,2023-07-03T19:04:52,0.512,0.625,417.922
-NZS1JP7hxxVwseaKqFB,2023-07-03T19:34:52,0.524,0.625,417.93402
-NZS8ArQTFZ809l5P3Cc,2023-07-03T20:04:52,0.535,0.625,417.94601
-NZSF2JliKqmZRA8X8zq,2023-07-03T20:34:52,0.547,0.625,417.95801
-NZSLumkIqRtARtkcKyV,2023-07-03T21:04:52,0.559,0.625,417.97098
-NZSSmEeMSP5T4RriYVt,2023-07-03T21:34:52,0.572,0.625,417.983
-NZSZdg_HnxORsCF0tpN,2023-07-03T22:04:52,0.585,0.625,417.99597
-NZSfW8zhdLKZ3aiapcx,2023-07-03T22:34:52,0.596,0.625,418.00696
-NZSmNbMtPXu513eJRiO,2023-07-03T23:04:52,0.607,0.625,418.01898
-NZStF3g3Tb_5VGIO9FH,2023-07-03T23:34:52,0.62,0.625,418.03098
-NZT-6Yc3RIqhELRj_CI,2023-07-04T00:04:52,0.002,0.629,418.04199
-NZT5yz0UnLYHAqotVXa,2023-07-04T00:34:52,0.013,0.629,418.05298
-NZTCqRVxH8izHTPXCXN,2023-07-04T01:04:52,0.025,0.629,418.064
-NZTJhtXt2rQD7xAADGL,2023-07-04T01:34:52,0.036,0.629,418.07599
-NZTQ_M70p0UNS-J6Qpl,2023-07-04T02:04:52,0.047,0.629,418.08698
-NZTXRoBZW2lJ6molRjY,2023-07-04T02:34:52,0.058,0.629,418.099
-NZTdJGb0Y1wPdb23wPc,2023-07-04T03:04:52,0.071,0.629,418.11099
-NZTkAibS05ahoGTkV59,2023-07-04T03:34:52,0.083,0.629,418.12302
-NZTr2AyBFbIGBYkgi1e,2023-07-04T04:04:52,0.094,0.629,418.134
-NZTxudAdf8F0vrcKbdG,2023-07-04T04:34:52,0.106,0.629,418.14597
-NZU3m5UD1iuTVRs56pe,2023-07-04T05:04:52,0.117,0.629,418.15698
-NZUAdZLoMnkoAhK8iS_,2023-07-04T05:34:52,0.129,0.629,418.16898
-NZUHW01LpOlcrG2XYTf,2023-07-04T06:04:52,0.141,0.629,418.17999
-NZUONTVVsOEsC8XpFBN,2023-07-04T06:34:52,0.153,0.629,418.19199
-NZUVEvXE3ZSI4jXge1G,2023-07-04T07:04:52,0.164,0.629,418.203
-NZUb6OMqLoZTQ4nwf8-,2023-07-04T07:34:52,0.175,0.629,418.21399
-NZUhyqMOaAzW_AxK54V,2023-07-04T08:04:52,0.187,0.629,418.22498
-NZUoqJ4aIE2AZiSsIjd,2023-07-04T08:34:52,0.2,0.629,418.23898
-NZUvhlAh6O4QZdCflVE,2023-07-04T09:04:52,0.211,0.629,418.25098
-NZV1_FQ1UYfBWhxtNMZ,2023-07-04T09:34:52,0.223,0.629,418.26199
-NZV8RfZwunwgG6mrAcd,2023-07-04T10:04:52,0.236,0.629,418.27399
-NZVFJ7mQzROLqug1ncZ,2023-07-04T10:34:52,0.287,0.629,418.32703
-NZVMAagM1g01QqAxkSv,2023-07-04T11:04:52,0.344,0.629,418.384
-NZVT22oxxBngN0eI2aS,2023-07-04T11:34:52,0.399,0.629,418.44
-NZVZuW3jtLXUvRewfIX,2023-07-04T12:04:52,0.454,0.629,418.495
-NZVflz_n9t7elbhGsOP,2023-07-04T12:34:52,0.508,0.629,418.548
-NZVnKoY5rRvbtHBqoWb,2023-07-04T13:07:55,0.565,0.629,418.60501
-NZVuCGlD9WMh9bg6SUk,2023-07-04T13:37:55,0.617,0.629,418.65698
-NZW03ixegD8hLxJqiv4,2023-07-04T14:07:55,0.667,0.629,418.70798
-NZW6wF7A69tJ0z4xR25,2023-07-04T14:37:55,0.718,0.629,418.758
-NZWDndfc2KWd0dBMuno,2023-07-04T15:07:55,0.768,0.629,418.80701
-NZWKf5q36tfwtnQHKAf,2023-07-04T15:37:55,0.788,0.629,418.828
-NZWRXYvdeC1B7Hd-8WQ,2023-07-04T16:07:55,0.811,0.629,418.85098
